Enzyme	Concentration
R_rxn02596_c_enzyme	0.0
R_rxn03897_c_enzyme	0.0
R_rxn02832_c_duplicate_2_enzyme	0.0
R_rxn12638_c_duplicate_6_enzyme	0.0
R_rxn00537_c_enzyme	0.0
R_rxn21860_c_enzyme	4.2418754378030465e-12
R_rxn00293_c_enzyme	1.407581526526185e-07
R_rxn00818_c_enzyme	0.0
R_rxn01304_c_enzyme	1.876703217613897e-06
R_rxn01138_c_enzyme	0.0
R_rxn08583_c_enzyme	0.0
R_rxn14089_c_duplicate_7_enzyme	0.0
R_rxn01517_c_enzyme	0.0
R_rxn07903_c_enzyme	0.0
R_rxn01258_c_duplicate_2_enzyme	0.0
R_rxn01670_c_enzyme	0.0
R_rxn07902_c_enzyme	0.0
R_rxn10255_c_duplicate_2_enzyme	0.0
R_rxn08802_c_enzyme	0.0
R_rxn03333_c_duplicate_2_enzyme	0.0
R_rxn10258_c_duplicate_2_enzyme	0.0
R_rxn00223_c_enzyme	8.190064978966643e-07
R_rxn05226_c_enzyme	2.583451756679785e-05
R_rxn10094_c_enzyme	0.0
R_rxn00469_c_enzyme	0.0
R_rxn11834_c_duplicate_3_enzyme	0.0
R_rxn01643_c_enzyme	1.079062482221505e-05
R_rxn08126_c_enzyme	0.0
R_rxn00048_c_enzyme	0.0
R_rxn12565_c_enzyme	0.0
R_rxn05735_c_enzyme	0.0
R_rxn05344_c_duplicate_3_enzyme	0.0
R_rxn04413_c_duplicate_2_enzyme	0.0
R_rxn00134_c_enzyme	4.2418754378030465e-12
R_rxn01530_c_duplicate_5_enzyme	0.0
R_EX_cpd01914_e_enzyme	0
R_rxn01053_c_duplicate_2_enzyme	0.0
R_rxn02834_c_enzyme	4.2137864412254756e-06
R_rxn10163_c_duplicate_2_enzyme	0.0
R_rxn10770_c_duplicate_5_enzyme	0.0
R_rxn12845_c_duplicate_2_enzyme	0.0
R_rxn08847_c_enzyme	0.0
R_rxn05247_c_duplicate_3_enzyme	0.0
R_rxn04052_c_enzyme	0.0
R_rxn11834_c_duplicate_4_enzyme	0.0
R_rxn05376_c_enzyme	0.0
R_rxn03282_c_duplicate_2_enzyme	0.0
R_rxn05248_c_enzyme	0.0
