R_rxn00192_c_duplicate_2_enzyme	1xPN96_02020
R_rxn00193_c_enzyme	1xPN96_14090
R_rxn00193_c_duplicate_2_enzyme	2xPN96_13885
R_rxn00194_c_enzyme	1xPN96_07390
R_rxn00199_c_enzyme	1xPN96_08360
R_rxn00202_c_enzyme	1xPN96_19245
R_rxn00205_c_enzyme	1xPN96_17865
R_rxn00206_c_enzyme	1xPN96_03200
R_rxn00206_c_duplicate_2_enzyme	1xPN96_15405
R_rxn00208_c_enzyme	2xPN96_16200
R_rxn00209_c_enzyme	2xPN96_16200
R_rxn00211_c_enzyme	1xPN96_12185
R_rxn00212_c_enzyme	1xPN96_07525
R_rxn00212_c_duplicate_2_enzyme	1xPN96_09695
R_rxn00213_c_enzyme	1xPN96_12260
R_rxn00213_c_duplicate_2_enzyme	1xPN96_00290
R_rxn00214_c_enzyme	1xPN96_15935
R_rxn00214_c_duplicate_2_enzyme	1xPN96_20615
R_rxn00214_c_duplicate_3_enzyme	1xPN96_22140
R_rxn00216_c_enzyme	1xPN96_22390
R_rxn00222_c_enzyme	1xPN96_22865
R_rxn00223_c_enzyme	1xPN96_14920
R_rxn00224_c_enzyme	1xPN96_09395
R_rxn00225_c_enzyme	2xPN96_21510
R_rxn00225_c_duplicate_2_enzyme	2xPN96_03365
R_rxn00237_c_enzyme	4xPN96_10485
R_rxn00239_c_enzyme	1xPN96_12560
R_rxn00242_c_enzyme	1xPN96_12570
R_rxn00247_c_enzyme	1xPN96_12720
R_rxn00248_c_enzyme	2xPN96_11695
R_rxn00251_c_enzyme	4xPN96_14785
R_rxn00256_c_enzyme	1xPN96_09305
R_rxn00256_c_duplicate_2_enzyme	4xPN96_11595
R_rxn00256_c_duplicate_3_enzyme	1xPN96_19610
R_rxn00257_c_enzyme	1xPN96_15895
R_rxn00258_c_enzyme	1xPN96_00570
R_rxn00259_c_enzyme	1xPN96_03520
R_rxn00260_c_enzyme	1xPN96_16090
R_rxn00260_c_duplicate_2_enzyme	1xPN96_20475
R_rxn00260_c_duplicate_3_enzyme	1xPN96_22890
R_rxn00260_c_duplicate_4_enzyme	1xPN96_19510
R_rxn00260_c_duplicate_5_enzyme	1xPN96_04195
R_rxn00262_c_enzyme	1xPN96_00990
R_rxn00272_c_enzyme	1xPN96_06300
R_rxn00272_c_duplicate_2_enzyme	1xPN96_00275
R_rxn00274_c_enzyme	2xPN96_15385
R_rxn00278_c_enzyme	1xPN96_07945
R_rxn00283_c_enzyme	1xPN96_22940
