TARGET_METABOLITE	TARGET_FLUX
M_cpd15532_c	0.075214
M_cpd15531_c	0.063814
M_cpd02229_c	5.5e-05
M_cpd03495_c	0.013727
M_cpd03586_c	0.019456
M_cpd00104_c	0.000002
M_cpd12836_c	0.9615
M_cpd03727_c	0.2113
M_cpd00029_c	0.0
