UNIPROT NAME	USER ID
Cytoplasm	Cytoplasm
Cell inner membrane	Cell_membrane
Cell membrane	Cell_membrane
Membrane	Cell_membrane
Cell outer membrane	Cell_membrane
Periplasm	Cell_membrane
