UNIPROT NAME	USER ID
Cytoplasm	Cytoplasm
Cell inner membrane	Inner_membrane
Cell membrane	Inner_membrane
Membrane	Inner_membrane
Cell outer membrane	Outer_membrane
Periplasm	Periplasm
