R_RNDR2_enzyme	46440	46440
R_PC_enzyme	40500	40500
R_RNDR3_enzyme	46440	46440
R_VALTA_enzyme	47160	47160
R_RNDR4_enzyme	46440	46440
R_GF6PTA_enzyme	48078	48078
R_NTRLASE_enzyme	22446000	22446000
R_GALUi_enzyme	70740	70740
R_PPCOAC_enzyme	6336	6336
R_PPA2_enzyme	14220648	14220648
R_PPA_enzyme	1404000	1404000
R_RPI_enzyme	5421600	5421600
R_PYK_enzyme	11534400	11534400
R_RPE_enzyme	3132000	3132000
R_TRDR_enzyme	82080	82080
R_ACLS_enzyme	19692	19692
R_TREH_enzyme	716400	716400
R_GTPCI_enzyme	6.119999999999999	6.119999999999999
R_AHCYSNS_enzyme	4194	4194
R_XAND_enzyme	20412	20412
R_NADH16_enzyme	1625400	1625400
R_ALAR_enzyme	107820	107820
R_NADK_enzyme	27180	27180
R_ASPCT_enzyme	825660	825660
R_THRD_enzyme	158400	158400
R_PTAr_enzyme	1494000	1494000
R_GLYAT_enzyme	72	72
R_DHPD_enzyme	21600	21600
R_NNAM_enzyme	10260	10260
R_DPR_enzyme	90000	90000
R_E4PD_enzyme	664200	664200
R_OCT_enzyme	176400	176400
R_NTD9_enzyme	32184	32184
R_NTD8_enzyme	1080	1080
R_NTD5_enzyme	1080	1080
R_NTD4_enzyme	32184	32184
R_NTD7_enzyme	32184	32184
R_NTD6_enzyme	1080	1080
R_ADNCYC_enzyme	4606.200000000001	4606.200000000001
R_AMAA_enzyme	1440	1440
R_NTD1_enzyme	1080	1080
R_NTD2_enzyme	32184	32184
R_NTD3_enzyme	1080	1080
R_CBL_enzyme	84240	84240
R_ADPT_enzyme	18126	18126
R_G6PDH2r_enzyme	4050000	4050000
R_BZ12DOX_enzyme	1321200	1321200
R_NADDP_enzyme	154800	154800
R_OP4ENH_enzyme	217800	217800
R_G1PTT_enzyme	13320	13320
R_KAS14_enzyme	356.94	356.94
R_ICDHyr_enzyme	118800	118800
R_FALDH_enzyme	1980.0000000000002	1980.0000000000002
R_GLBRAN2_enzyme	540	540
R_SKDH_enzyme	219960	219960
R_TDSK_enzyme	8640	8640
R_PPC_enzyme	1944000	1944000
R_ACYP_enzyme	0.00558	0.00558
R_SDPTA_enzyme	86400	86400
R_DPHS_enzyme	42120	42120
R_SPMS_enzyme	81720	81720
R_GLXCL_enzyme	68040	68040
R_SHKK_enzyme	216000	216000
R_ARGDC_enzyme	4392	4392
R_NNDMBRT_enzyme	136800	136800
R_DPCOAK_enzyme	139.32	139.32
R_NTP3_enzyme	1854	1854
R_NTP1_enzyme	1854	1854
R_ILETRS_enzyme	64800	64800
R_ACBIPGT_enzyme	271.8	271.8
R_MCITL2_enzyme	136800	136800
R_GTHS_enzyme	108720	108720
R_AHSERL4_enzyme	694800	694800
R_PANTS_enzyme	5400	5400
R_DXPRIi_enzyme	7200	7200
R_PMDPHT_enzyme	5400	5400
R_THD2_enzyme	838800	838800
R_TRSARr_enzyme	874800	874800
R_PTPATi_enzyme	16839	16839
R_TDPDRR_enzyme	97200	97200
R_METTRS_enzyme	10800	10800
R_TRPS2_enzyme	24480	24480
R_PMPK_enzyme	252.00000000000003	252.00000000000003
R_TRPS1_enzyme	32400	32400
R_HXAND_enzyme	20412	20412
R_ANS_enzyme	258480	258480
R_UAG4Ei_enzyme	281250	281250
R_MMSAD1m_enzyme	7920.000000000001	7920.000000000001
R_NTD11_enzyme	32184	32184
R_DUTPDP_enzyme	154800	154800
R_ACGK_enzyme	153900	153900
R_NTD10_enzyme	32184	32184
R_CHOLD_enzyme	193320	193320
R_DHEDAA_enzyme	739440	739440
R_ACGS_enzyme	1800	1800
R_ANPRT_enzyme	15840.000000000002	15840.000000000002
R_PYAM5PO_enzyme	51768	51768
R_GLYK_enzyme	17640000	17640000
R_GLCRD_enzyme	126000	126000
R_PGI_enzyme	9954000	9954000
R_4HTHRS_enzyme	8640	8640
R_PGK_enzyme	1906200	1906200
R_PGM_enzyme	11520000	11520000
R_MUCCYCI_enzyme	406440	406440
R_P5CR_enzyme	1626120	1626120
R_LGTHL_enzyme	1159200	1159200
R_AACTOOR_enzyme	25920	25920
R_UAGPT2_enzyme	3353.4	3353.4
