TARGET_METABOLITE	TARGET_FLUX
M_pe161_c	0.054154
M_pe161_p	0.02106
M_pe160_c	0.017868
M_pe160_p	0.045946
M_udcpdp_c	5.5e-05
M_murein5px4p_p	0.013894
M_btn_c	0.000002
M_kdo2lipid4_c	0.019456
